Timestamp;Room;X Ref;Y Ref;W Ref;BSSID;SSID;RSSI;Channel
2013-11-07 18:36:02.033;Unknown;0;0;5;00:13:5f:f9:f0:04;ntu-visitor;-48;2462
2013-11-07 18:36:02.033;Unknown;0;0;5;00:19:07:36:49:52;eduroam;-51;2437
2013-11-07 18:36:02.033;Unknown;0;0;5;00:19:07:36:49:57;ntu-wifi;-52;2437
2013-11-07 18:36:02.033;Unknown;0;0;5;00:19:07:36:49:54;ntu-visitor;-52;2437
2013-11-07 18:36:02.033;Unknown;0;0;5;00:19:07:36:49:55;ntu-wirelessHelp;-52;2437
2013-11-07 18:36:02.033;Unknown;0;0;5;00:13:5f:f9:c1:26;;-78;2462
2013-11-07 18:36:02.033;Unknown;0;0;5;00:13:5f:f9:c1:27;ntu-wifi;-74;2462
2013-11-07 18:36:02.033;Unknown;0;0;5;00:13:5f:f9:c1:22;eduroam;-74;2462
2013-11-07 18:36:02.033;Unknown;0;0;5;00:13:5f:f9:c1:24;ntu-visitor;-75;2462
2013-11-07 18:36:02.033;Unknown;0;0;5;70:10:5c:a0:79:72;eduroam;-73;2412
2013-11-07 18:36:02.033;Unknown;0;0;5;70:10:5c:a0:79:77;ntu-wifi;-72;2412
2013-11-07 18:36:02.033;Unknown;0;0;5;70:10:5c:a0:79:76;;-77;2412
2013-11-07 18:36:02.033;Unknown;0;0;5;70:10:5c:a0:79:75;ntu-wirelessHelp;-73;2412
2013-11-07 18:36:02.033;Unknown;0;0;5;70:10:5c:a0:79:74;ntu-visitor;-84;2412
2013-11-07 18:36:02.033;Unknown;0;0;5;00:13:5f:f9:c1:25;ntu-wirelessHelp;-73;2462
2013-11-07 18:36:02.033;Unknown;0;0;5;70:10:5c:a0:75:82;eduroam;-81;2412
2013-11-07 18:36:02.033;Unknown;0;0;5;70:10:5c:a0:75:87;ntu-wifi;-81;2412
2013-11-07 18:36:02.033;Unknown;0;0;5;70:10:5c:a0:75:85;ntu-wirelessHelp;-80;2412
2013-11-07 18:36:02.033;Unknown;0;0;5;70:10:5c:a0:11:c5;ntu-wirelessHelp;-88;2437
2013-11-07 18:36:02.033;Unknown;0;0;5;00:13:5f:f9:f0:02;eduroam;-49;2462
2013-11-07 18:36:02.033;Unknown;0;0;5;00:13:5f:f9:f0:07;ntu-wifi;-54;2462
2013-11-07 18:36:02.033;Unknown;0;0;5;00:13:5f:f9:f0:06;;-54;2462
2013-11-07 18:36:02.033;Unknown;0;0;5;00:13:5f:f9:f0:05;ntu-wirelessHelp;-55;2462
2013-11-07 18:36:03.216;Unknown;1;1;5;00:13:5f:f9:f0:04;ntu-visitor;-51;2462
2013-11-07 18:36:03.216;Unknown;1;1;5;00:13:5f:f9:f0:02;eduroam;-52;2462
2013-11-07 18:36:03.216;Unknown;1;1;5;00:13:5f:f9:f0:07;ntu-wifi;-54;2462
2013-11-07 18:36:03.216;Unknown;1;1;5;00:13:5f:f9:f0:06;;-54;2462
2013-11-07 18:36:03.216;Unknown;1;1;5;00:13:5f:f9:f0:05;ntu-wirelessHelp;-54;2462
2013-11-07 18:36:04.399;Unknown;2;2;5;00:13:5f:f9:f0:04;ntu-visitor;-54;2462
2013-11-07 18:36:04.399;Unknown;2;2;5;00:13:5f:f9:f0:02;eduroam;-54;2462
2013-11-07 18:36:04.399;Unknown;2;2;5;00:13:5f:f9:f0:07;ntu-wifi;-54;2462
2013-11-07 18:36:04.399;Unknown;2;2;5;00:13:5f:f9:f0:06;;-54;2462
2013-11-07 18:36:04.399;Unknown;2;2;5;00:13:5f:f9:f0:05;ntu-wirelessHelp;-54;2462
2013-11-07 18:36:05.573;Unknown;3;3;5;00:13:5f:f9:f0:04;ntu-visitor;-50;2462
2013-11-07 18:36:05.573;Unknown;3;3;5;00:13:5f:f9:f0:02;eduroam;-51;2462
2013-11-07 18:36:05.573;Unknown;3;3;5;00:13:5f:f9:f0:07;ntu-wifi;-50;2462
2013-11-07 18:36:05.573;Unknown;3;3;5;00:13:5f:f9:f0:06;;-50;2462
2013-11-07 18:36:05.573;Unknown;3;3;5;00:13:5f:f9:f0:05;ntu-wirelessHelp;-50;2462
2013-11-07 18:36:06.757;Unknown;4;4;5;00:13:5f:f9:f0:04;ntu-visitor;-52;2462
2013-11-07 18:36:06.757;Unknown;4;4;5;00:13:5f:f9:f0:02;eduroam;-52;2462
2013-11-07 18:36:06.757;Unknown;4;4;5;00:13:5f:f9:f0:07;ntu-wifi;-52;2462
2013-11-07 18:36:06.757;Unknown;4;4;5;00:13:5f:f9:f0:06;;-52;2462
2013-11-07 18:36:06.757;Unknown;4;4;5;00:13:5f:f9:f0:05;ntu-wirelessHelp;-52;2462
2013-11-07 18:36:07.937;Unknown;5;5;5;00:13:5f:f9:f0:04;ntu-visitor;-51;2462
2013-11-07 18:36:07.937;Unknown;5;5;5;00:13:5f:f9:f0:02;eduroam;-51;2462
2013-11-07 18:36:07.937;Unknown;5;5;5;00:13:5f:f9:f0:07;ntu-wifi;-51;2462
2013-11-07 18:36:07.937;Unknown;5;5;5;00:13:5f:f9:f0:06;;-51;2462
2013-11-07 18:36:07.937;Unknown;5;5;5;00:13:5f:f9:f0:05;ntu-wirelessHelp;-51;2462
2013-11-07 18:36:09.113;Unknown;6;6;5;00:13:5f:f9:f0:04;ntu-visitor;-51;2462
2013-11-07 18:36:09.113;Unknown;6;6;5;00:13:5f:f9:f0:02;eduroam;-51;2462
2013-11-07 18:36:09.113;Unknown;6;6;5;00:13:5f:f9:f0:07;ntu-wifi;-51;2462
2013-11-07 18:36:09.113;Unknown;6;6;5;00:13:5f:f9:f0:06;;-51;2462
2013-11-07 18:36:09.113;Unknown;6;6;5;00:13:5f:f9:f0:05;ntu-wirelessHelp;-50;2462
2013-11-07 18:36:10.287;Unknown;7;7;5;00:13:5f:f9:f0:04;ntu-visitor;-51;2462
2013-11-07 18:36:10.287;Unknown;7;7;5;00:13:5f:f9:f0:02;eduroam;-51;2462
2013-11-07 18:36:10.287;Unknown;7;7;5;00:13:5f:f9:f0:07;ntu-wifi;-51;2462
2013-11-07 18:36:10.287;Unknown;7;7;5;00:13:5f:f9:f0:06;;-51;2462
2013-11-07 18:36:10.287;Unknown;7;7;5;00:13:5f:f9:f0:05;ntu-wirelessHelp;-50;2462
2013-11-07 18:36:11.464;Unknown;8;8;5;00:13:5f:f9:f0:04;ntu-visitor;-51;2462
2013-11-07 18:36:11.464;Unknown;8;8;5;00:13:5f:f9:f0:02;eduroam;-51;2462
2013-11-07 18:36:11.464;Unknown;8;8;5;00:13:5f:f9:f0:07;ntu-wifi;-51;2462
2013-11-07 18:36:11.464;Unknown;8;8;5;00:13:5f:f9:f0:06;;-51;2462
2013-11-07 18:36:11.464;Unknown;8;8;5;00:13:5f:f9:f0:05;ntu-wirelessHelp;-51;2462
2013-11-07 18:36:12.639;Unknown;9;9;5;00:13:5f:f9:f0:04;ntu-visitor;-47;2462
2013-11-07 18:36:12.639;Unknown;9;9;5;00:13:5f:f9:f0:02;eduroam;-44;2462
2013-11-07 18:36:12.639;Unknown;9;9;5;00:13:5f:f9:f0:07;ntu-wifi;-48;2462
2013-11-07 18:36:12.639;Unknown;9;9;5;00:13:5f:f9:f0:06;;-44;2462
2013-11-07 18:36:12.639;Unknown;9;9;5;00:13:5f:f9:f0:05;ntu-wirelessHelp;-45;2462
